Mahasiswa,Timestamp,passion,pengetahuan_sebelumnya,tim,skill,motivasi,komunitas_diikuti,Rating [MOCAP],Rating  [WEBONDER],Rating[UINUX],Rating [MAMUD],Rating[ETH0],Rating [UINBUNTU],Rating [FUN JAVA],Rating[GDSC],Rating  [DSE],Rating [ONTAKI],Email Address
Mahasiswa 29,10/13/2023 4:02:22,Pemograman Web,"Pemograman Web, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, Javascript, C++, Python, Linux",Menambah teman,"MOCAP, DSE",3.0,3.0,2.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,
Mahasiswa 10,2/10/2024 0:03:56,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Figma, Ubuntu, Dart, Python",Menekuni bakat dan minat,"MOCAP, MAMUD, GDSC, ONTAKI",3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,
Mahasiswa 34,2/8/2024 18:04:59,Pemograman Web,"Pemograman Web, Pemograman Java, Multimedia, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Figma",Menambah relasi untuk membantu memudahkan memahami tugas kuliah,"WEBONDER, ETH0",4.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,
Mahasiswa 26,2/5/2024 16:43:32,Jaringan,Pemograman Java,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Java, C++, C#, Unity, Ubuntu, Blender, Dart, Python, Linux","Menambahkan cerita dalam pengalaman hidup, menambah relasi pertemanan ","MOCAP, UINBUNTU, ONTAKI",3.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,
Mahasiswa 24,2/5/2024 16:43:26,Linux,Robotik,Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Python, Golang",Ingin mempelajari lebih dalam tentang ilmu ilmunya,"MOCAP, GDSC",3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,1.0,
Mahasiswa 12,10/13/2023 4:02:22,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Cloud, Python",Ingin menambah wawasan dan menambah ilmu untuk mengembangkan diri,DSE,4.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,
Mahasiswa 26,2/13/2024 10:19:41,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Python, Golang",Mempelajari ilmu baru di luar perkuliahan dengan teman-teman,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,
Mahasiswa 26,2/5/2024 18:44:46,Pemograman Web,Pemograman Mobile,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Figma, Kotlin, Dart, Cloud, Python, Golang",Karena ingin ahli dalam skill yang saya inginkan,FUN JAVA,3.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,
Mahasiswa 15,10/13/2023 7:59:19,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Teknologi Google, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Python, Golang",Untuk membantu saya dalam minat saya di bidang bioinformatika ,"MOCAP, UINBUNTU, ONTAKI",4.0,5.0,5.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0,
Mahasiswa 3,2/5/2024 19:36:15,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Figma, Python",Ingin meningkatkan softskill maupun hardskill yang bisa menunjang karir,"WEBONDER, ETH0",2.0,4.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,
Mahasiswa 30,2/5/2024 16:53:20,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Unity, Ubuntu",Ingin mempelajari lebih dalam tentang ilmu ilmunya,"MOCAP, GDSC, DSE, ONTAKI",4.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,5.0,
Mahasiswa 27,2/6/2024 12:54:26,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Teknologi Google, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, Figma, Kotlin, Dart, Python",Untuk mendapatkan pengalaman baru serta belajar tanggung jawab,"MOCAP, DSE",4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,
Mahasiswa 28,2/5/2024 16:58:01,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Javascript, Python, Golang",Memperluas networking,MOCAP,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,
Mahasiswa 4,2/6/2024 13:14:22,UI/UX,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Figma",Belajar lebih dalam,"MOCAP, GDSC, DSE, ONTAKI",4.0,3.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0,
Mahasiswa 24,2/6/2024 0:58:22,Pemograman Web,Robotik,Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Figma","Selain mengisi waktu luang, juga ingin menambah pengetahuan tentang teknologi yang terkait dengan komunitas tsb.",UINUX,3.0,4.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,3.0,
Mahasiswa 8,2/5/2024 20:03:51,Robotik,"Data Science, Teknologi Google","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Python",Mempelajari ilmu baru di luar perkuliahan dengan teman-teman,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",4.0,4.0,1.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0,
Mahasiswa 40,10/12/2023 22:47:01,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Jaringan, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Cloud, Linux, Golang",Ingin menambah ilmu mengenai bidang yang saya tekuni ,"WEBONDER, ETH0, ONTAKI",3.0,4.0,5.0,5.0,2.0,2.0,2.0,4.0,3.0,3.0,
Mahasiswa 30,2/6/2024 5:15:00,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Teknologi Google, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, C++, C#, Figma, Unity, Ubuntu, Blender, Kotlin, Dart, Python, Linux",Menambah relasi untuk membantu memudahkan memahami tugas kuliah,"WEBONDER, ETH0",3.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,
Mahasiswa 25,2/8/2024 16:58:59,UI/UX,"Pemograman Web, Pemograman Java, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, Figma",Menambah relasi untuk membantu memudahkan memahami tugas kuliah,"MOCAP, GDSC, DSE, ONTAKI",4.0,3.0,2.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,
Mahasiswa 24,2/9/2024 10:24:07,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Linux",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, C#, Figma, Unity, Blender, Kotlin",Ingin mendapatkan lingkungan yang memeiliki mimpi yang sama dan minat yang sama,ONTAKI,3.0,4.0,4.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,
Mahasiswa 40,2/9/2024 10:24:07,UI/UX,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, Figma, Kotlin, Dart, Python",Karena ingin ahli dalam skill yang saya inginkan,UINUX,3.0,3.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,5.0,
Mahasiswa 40,2/8/2024 16:44:49,Multimedia,"Pemograman Web, Multimedia, Robotik, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Figma, Ubuntu, Dart, Python",Mencari peluang untuk memperlebar koneksi ke developer handal,"WEBONDER, GDSC",4.0,4.0,5.0,3.0,3.0,1.0,4.0,4.0,1.0,5.0,
Mahasiswa 17,2/5/2024 20:03:51,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Robotik, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, Figma, Unity, Blender, Dart, Python","Selain mengisi waktu luang, juga ingin menambah pengetahuan tentang teknologi yang terkait dengan komunitas tsb.",GDSC,5.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,
Mahasiswa 40,2/5/2024 16:42:49,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Java, C++, C#, Unity, Ubuntu, Blender, Dart, Python, Linux",Memperluas networking,MAMUD,4.0,2.0,4.0,1.0,4.0,1.0,5.0,4.0,4.0,2.0,
Mahasiswa 3,2/6/2024 10:22:22,Robotik,Pemograman Java,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Cloud",Mempelajari ilmu baru di luar perkuliahan dengan teman-teman,MOCAP,5.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,
Mahasiswa 35,2/5/2024 17:20:34,Robotik,UI/UX,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Figma",Mengembangkan keahlian dan mendapatkan pengalam dan ilmu,"WEBONDER, ETH0, ONTAKI",2.0,2.0,3.0,5.0,3.0,1.0,3.0,4.0,4.0,2.0,
Mahasiswa 6,2/6/2024 12:54:26,UI/UX,"Pemograman Mobile, Teknologi Google, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Figma, Ubuntu, Dart, Python",mrnambah ilmu,"MOCAP, GDSC",4.0,4.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,5.0,
Mahasiswa 28,2/5/2024 17:20:34,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Dart, Python",Memperdalam ilmu coding,"MOCAP, WEBONDER, DSE",2.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,
Mahasiswa 28,2/5/2024 16:41:25,Robotik,"Pemograman Web, Pemograman Java, Data Science","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, C++, C#, Figma, Unity, Ubuntu, Blender, Kotlin, Dart, Python, Linux",Mengembangkan keahlian dan mendapatkan pengalam dan ilmu,"WEBONDER, ETH0, ONTAKI",3.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,
Mahasiswa 20,2/13/2024 10:19:41,Linux,Jaringan,Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, Figma, Kotlin, Dart, Python",Mengembangkan Skill,"ETH0, GDSC, DSE",4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,
Mahasiswa 41,2/5/2024 18:44:46,Pemograman Mobile,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Dart",Karena ingin ahli dalam skill yang saya inginkan,"WEBONDER, ETH0, FUN JAVA",5.0,2.0,3.0,1.0,5.0,5.0,2.0,4.0,2.0,5.0,
Mahasiswa 28,2/8/2024 17:22:54,Linux,UI/UX,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, Figma, Kotlin, Dart, Cloud, Python, Golang","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill","MOCAP, ONTAKI",4.0,2.0,2.0,1.0,2.0,1.0,5.0,4.0,2.0,2.0,
Mahasiswa 43,2/5/2024 16:59:16,Data Science,UI/UX,Tim Kecil: Lebih ke proyek-proyek tertentu,"HTML, Javascript, C++, Python, Linux",Dengan kemajuan teknologi pemahaman akan pengetahuan tersebut sangat penting di kehidupan ini,"MOCAP, GDSC, DSE, ONTAKI",4.0,2.0,2.0,1.0,5.0,3.0,3.0,5.0,3.0,4.0,
Mahasiswa 4,2/5/2024 16:43:32,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma",Untuk mendapatkan lebih banyak ilmu dari komunitas tersebut sehingga dapat menambah pengetahuan dalam bidang yang saya minati,"MOCAP, WEBONDER, GDSC",4.0,4.0,1.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,
Mahasiswa 24,2/6/2024 5:15:00,Multimedia,Data Science,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Cloud, Python",Untuk memperdalam keilmuan di bidang IT ,"MOCAP, UINBUNTU, ONTAKI",3.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,
Mahasiswa 9,2/5/2024 20:41:27,Pemograman Web,"Pemograman Web, Pemograman Java, Multimedia, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,HTML,Pengetahuan dalam dunia kerja dan informasi penting (Loker atau Pengetahuan) terbaru di bidang yang diminati,ETH0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,5.0,4.0,4.0,
Mahasiswa 22,2/5/2024 16:42:03,Multimedia,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,Python,menambah relasi,"MOCAP, UINBUNTU, ONTAKI",3.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,
Mahasiswa 17,2/8/2024 18:30:42,Jaringan,"Pemograman Mobile, Pemograman Java, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, Figma, Kotlin, Dart, Cloud, Python, Golang",Mengembangkan Skill,FUN JAVA,4.0,5.0,2.0,3.0,4.0,1.0,2.0,5.0,4.0,5.0,
Mahasiswa 34,2/5/2024 16:58:01,Multimedia,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Ubuntu, Kotlin, Dart, Cloud, Linux, Golang",Mengembangkan keahlian dan mendapatkan pengalam dan ilmu,ETH0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,
Mahasiswa 32,2/5/2024 17:25:54,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Java, C++, Figma, Ubuntu, Kotlin, Dart, Cloud, Python, Linux, Golang",Ingin menambah pengalaman yang lebih serta dapat mendapatkan relasi yang lebih positif ,"WEBONDER, MAMUD, ETH0",4.0,4.0,2.0,1.0,3.0,3.0,2.0,5.0,4.0,2.0,
Mahasiswa 4,2/5/2024 16:46:02,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma",Menambah relasi & pengetahuan di bidang terkait ,"MOCAP, UINBUNTU, ONTAKI",3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,
Mahasiswa 21,2/11/2024 20:44:09,Linux,"Pemograman Web, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Javascript, Figma",Nambah ilmu dan pengalaman. Nambah relasi,"MOCAP, GDSC",3.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,2.0,
Mahasiswa 44,2/5/2024 20:03:51,Linux,"Pemograman Mobile, Pemograman Java, Data Science","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma",Ingin mendapatkan lingkungan yang memeiliki mimpi yang sama dan minat yang sama,UINUX,5.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,5.0,
Mahasiswa 22,2/11/2024 12:36:30,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Java, C++, C#, Blender","Bergabung dalam komunitas akademik di TI UIN memberikan kesempatan untuk mendapatkan pengetahuan mendalam tentang bidang Teknologi Informasi. Melalui mata kuliah, seminar, dan proyek kolaboratif, anggota komunitas dapat terus belajar dan mengembangkan keterampilan mereka",FUN JAVA,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,
Mahasiswa 16,2/11/2024 20:44:09,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Java, C++, Figma, Ubuntu, Kotlin, Dart, Cloud, Python, Linux, Golang",Ingin menambah wawasan dan menambah ilmu untuk mengembangkan diri,"MOCAP, DSE",4.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,5.0,
Mahasiswa 21,2/8/2024 20:08:41,UI/UX,"Data Science, Teknologi Google",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Figma, Unity, Blender, Dart, Python","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill","MOCAP, GDSC, DSE, ONTAKI",2.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,
Mahasiswa 16,2/5/2024 16:37:56,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Jaringan, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,Dengan kemajuan teknologi pemahaman akan pengetahuan tersebut sangat penting di kehidupan ini,MOCAP,3.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,2.0,
Mahasiswa 46,2/6/2024 10:22:22,Data Science,"Pemograman Web, Pemograman Java, Multimedia, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Python",Nambah ilmu dan pengalaman. Nambah relasi,"MOCAP, WEBONDER, DSE",4.0,2.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,
Mahasiswa 23,2/8/2024 16:58:59,UI/UX,"Pemograman Web, Data Science","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Cloud",Ingin menambah wawasan dan menambah ilmu untuk mengembangkan diri,"ETH0, GDSC, DSE",4.0,4.0,2.0,1.0,5.0,3.0,2.0,4.0,3.0,3.0,
Mahasiswa 40,2/9/2024 10:24:07,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, C++, C#, Figma, Unity, Ubuntu, Blender, Kotlin, Dart, Python, Linux",Menambah ilmu,"ETH0, GDSC",3.0,3.0,2.0,5.0,3.0,5.0,1.0,1.0,2.0,5.0,
Mahasiswa 11,2/10/2024 0:03:56,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, C#, Figma, Dart, Cloud, Python",Menambah pengalaman ,"MOCAP, WEBONDER",4.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,
Mahasiswa 44,2/5/2024 16:42:49,UI/UX,"Pemograman Mobile, Pemograman Java, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, CSS, Javascript, Unity, Ubuntu, Dart, Cloud, Python, Golang",Mencari peluang untuk memperlebar koneksi ke developer handal,"MOCAP, WEBONDER",4.0,3.0,2.0,3.0,3.0,1.0,2.0,5.0,2.0,3.0,
Mahasiswa 48,2/5/2024 16:36:36,Jaringan,"Pemograman Mobile, Pemograman Java, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Figma, Blender, Python, Linux",Menambah relasi ,FUN JAVA,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,
Mahasiswa 18,2/5/2024 16:46:02,Jaringan,Pemograman Mobile,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","Python, Golang","Untuk menambah pengalaman dan relasi, menambah ilmu",DSE,5.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,
Mahasiswa 47,2/6/2024 13:14:22,Jaringan,",",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, CSS, Javascript, Unity, Ubuntu, Dart, Cloud, Python, Golang",Ingin belajar lebih baik tentang TI,"MOCAP, WEBONDER",3.0,5.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,5.0,
Mahasiswa 9,2/5/2024 16:58:01,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Jaringan, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, CSS, Javascript, Cloud, Linux, Golang",Karena ingin ahli dalam skill yang saya inginkan,ETH0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,
Mahasiswa 1,2/8/2024 17:22:54,Jaringan,",",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, C++, C#, Figma, Blender, Cloud","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill",MAMUD,2.0,5.0,3.0,5.0,3.0,1.0,2.0,4.0,3.0,2.0,
Mahasiswa 29,2/5/2024 19:30:29,Robotik,"Pemograman Web, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Java, C++, C#, Blender",Mengembangkan Skill,"ETH0, GDSC",4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,
Mahasiswa 43,2/5/2024 16:59:16,Linux,"Pemograman Mobile, Pemograman Java, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, CSS, Javascript, Unity, Ubuntu, Dart, Cloud, Python, Golang","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill","WEBONDER, ETH0, FUN JAVA",4.0,2.0,1.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,
